text,label
weibo tolong kerja nya ngelag napa sih ayang gw lg ngelive,2
gr tai kouta gue jd cepet abis,2
tolong lemot duluuu,2
bajingan muncull lu bgstt nyusahin,2
rumah gue ping nya ngedrop mulu ya pas main valorant pas main aja ping nya pas game ping nya ngedrop parah,2
kontol anjing babi bangsat,2
ga sampe gue bener,2
jelek banget kah,2
kalo sehari lancar tiangnya roboh kali yyy,2
yg pake gimana lancar gak gue sinyalny ilangan mulu,2
napa ya udah jelek mulu ni jaringannya,2
nih lu bener kayak anjing dah,2
tolong banget,2
kak selamat malamkok internet nya gk bs main roblox yah ( apkaah roblox berantem ((( bermain roblox viewer ku kak ((((( semoga kedepan nya roblox baikan,2
sabar ya dm lg jelek bgt,2
gembel,2
jelek bgt gajadi nonton,2
mohon dicek jam nyambung terputus id pelnggan,2
jelek banget,2
kenapeee sich,2
coyyy asu,2
erorr nonton live chenle,2
malam bos berhenti berlangganan posisinya singapura memiliki no tlfon indonesia tolong solusinya,2
mba ngadet ngadet ya,2
menguji kesabaran banget dah,2
tp wifi dr kmrn buka apl berat bgt live carat aja ga nonton nonton,2
bisanya kota ancurnya sinyal dasar homo,2
buzzernya wkw,2
ku benci dr hujan error,2
sumpah lu anjir,2
nyebelin ga sihh aksnjdksksks mu error kah,2
minggu kamus pintar seputar bahas upgrade speed sobat udah tau upgrade speed intip yuk pengertian upgrade speed,2
error nya gantian kah,2
woi lemot plissss nonton ayang beb,2
ya seharian eror zoom berkali kali masuk download gk tolong dibantu,2
apapun ih,2
nih bos senggol,2
error massal kah,2
hallo care berhenti berlangganan syaratnya,2
knp sih,2
kentot benernya,2
kkt musuhan,2
lemot bgtt anjing,2
ngeload foto lamaaaaaa banget lu knp dah,2
gak pindah,2
monyeeettt,2
telkom kenapasi ni jan ampe gua beli mifi dalemnya gua isiin flexi,2
malaam min knpa yaaa berwarna merah tombol los,2
ajgggg w lanjutin drakor gabisa,2
gue jg emang jelek banget anjrit,2
busuk,2
jgn pls goal jikjin masi m lg,2
kak ya gaada koneksi,2
napa sih,2
tolonglah rt wifinya smua,2
gila sih benerin koneksi nyewa buzzer,2
taiiii,2
wow cece router era,2
lo gausah ngajak berantem deh,2
area bambu kuning no internet akses kelar ny maintenance ny kacau,2
sak gang isok ganti mn kenek modelan promo wkwk akhire aing pengguna isok nguasai maneng wkwk,2
kadang suka bete tv kabel knp subtitlenya putih warnanya jd suka ga keliatan kalah situs nonton yg iklan judinya yg udh make subtitle warna kuning,2
hi min tagihan yah,2
monyet,2
we tolong jaringannya dikondisikan jaringan ya gk berubah keren parah memangnya main mars pingnya merah,2
catat jgn kelewatan,2
lemot bgt pls gabisa refresh ht jakxbskz,2
error massal y,2
selamat malam admin wifi bermasalah kedip merah tulisan pon wireless ya solusinya thankyou so much,2
gak gak jaringannya jelek capek banget astaga,2
lupa gengs besok batas pembayaran ntar isolir internet de,2
bingung internetmu loss merah nggak khawatir depok kasih tau langkah-langkah mengatasi internet los merah,2
mulu akunya kpn /nngis wc,2
nyet,2
gws,2
cepu,2
yuk lupa berdoa ashar ya gengs salah doa mujarab jumat berdasarkan hadist n,2
kadang ngejalaninnya susah yekan gengs tonton video interview lengkap gizi pola hidup sehat ht,2
ayo kawan,2
kalo menang lumayan banget hadiahnya,2
payah bgt kalo ujan,2
u think u can hurt me user sob,2
menghilang berjalannya sekolah wifinan internet nya,2
min lampu internet modem nyala merah gak konek internetudah berjam jam benernya,2
hadeh lg si,2
masyaallah rejeki kayanya jnternet ngelag begimana dah udh nangis( thx,2
semoga bersahabat,2
trend tuh kalo internetan ga pakai kuota guys pake hehe,2
ngapa sikkk,2
sehari jgn caper bs gk,2
ngajak berantem,2
sejujurnya ane ga percaya orang,2
kalo total tagihan bulanan berubah dibayarin udah terbayarkan tagihan tu jane pie,2
gangguan ya temen gue jg gangguan,2
anjj,2
im seriously so tired of you,2
anjay usus gw keren drpd,2
awakening my violent urges,2
kenape si,2
ga cape cape beli makan guys pesen aja online pakai jaringan,2
kacau gaming nih,2
i wilk fucking,2
didenda gua,2
hadeh,2
spotify sm sii,2
im going to kll you myself,2
sungguh wifi lemotnya biasaa,2
nyiksa banget lemot gini,2
hai sobat smartmemiliki rumah nyaman penghuni betah rumah halnya video hunian nyaman perangkat smart home diandalkan,2
skrg wifi lemot ya,2
kacau,2
sampe nuduh wifi yg jelek pdhal gang,2
wifi lu,2
meraju,2
pokoknya alumni jaringan tuh udah bahagia banget,2
gw lemot cogg udah hariii,2
beruntung bener pelanggan corporate aja trouble langsung tanggepin,2
lemotttt,2
lemot bget udh sebel bget w pindah provider,2
tolongggg,2
lu kyk koncol ga,2
kesini lemot gimana inipadahal pembayaran gak pernag telat,2
deh lemot banget sore,2
lemot tp laris ae,2
cs kuat batinnya,2
online ga khawatir kuota jebol gais,2
ngeselin bgt dah gue suka ilang sinyalnya,2
rumah error mohon dibenerin,2
min data jebol gimana yg telepon nomor panggil nama yg salah persis nama daftarkan layanan -_-,2
lag banget,2
sih baut buka ig ama twitter aja gabisa gw main valo nih,2
adddhhhhh temenan gak,2
min pon merah,2
gausah cari perkara please,2
tau kalo bayar listrik mahal wkwk,2
tolong wfi sya gak connecting dri pagi nlpon no pelanggan temukan jls no sya,2
emang emang server kaya tai sih masuk rdr aja error mulu,2
kak ku eror merah gt modemnya,2
bapuk ga sih,2
mati internet nya,2
ngelag pas pushrank,2
hi admin nanya jaringan daerah rmh lg gangguan gimana ya internet mati tp rmh tetangga yg jg pelanggan lancar aja tlg kejelasan bantuannya,2
nih fungsinya guys padat apapun kegiatan online ringan,2
ku main pake kadang ping nya merah terpaksa pake kuota,2
selasa ngelakuin aktivitas positif,2
lg bermasalah gmn,2
gangguan,2
kumat,2
sampai deposit transfer berhenti langganan november bener nggak niat refund yah cc,2
selasa produktif guys,2
sumpa kenapaa ak les,2
user ngerasa jaringannya lemot bgt gak si sumpah dr kemarin gue gak ngirim foto wa njir,2
tolong baca dm kirim teknisi dirumah internetnya gak bisaaaa,2
lemot bgt anj,2
mah lemot nder kwkwk,2
lemot bgt sih gue dr kemaren gabisa ngirim foto/video twitter wa tele gatau kalo sosmed gini gak sih,2
permisiii knp error ya kerja nih bestii,2
lupa stretching warrior pergerakan tubuh fit,2
dri pagi jaringannya nggak terhubung gegara los nya kedip merah mulu udah reset modem teteo kedip merah,2
gue kenape aarrrggghhhh,2
selamat pagi rusak pagimu dgn mengeluh pagi yg keseharianmu semangat yg penuh semangat,2
yt w gabisa ya,2
wfh khawatir jaringan lelet,2
tolong sinyal udh minggu lemot banget dm dibalesnya mention,2
kemarin lemot bgt laptop gue ya allah,2
yakali iseng banget ngeblock website cognitoform,2
tsel/ gangguan kah,2
stress banget lemot banget sih pas hujan asli gue gabisa ngapangapain tri rumah gue bar wkwkk tetep cepet,2
asli daritadi jelek bett jaringan ny,2
sumpahhh ganggu w streaming plis,2
laporan wifi troubel,2
jelek ya,2
apadah ilang ilangan,2
sore care pencabutan,2
tolong kerja nya,2
mohon membutuhkan kekuatan indigo indiesunset menerjemahkan,2
asu masang wifi harian dancuk banget providernya,2
kek kontol anjeng,2
internet error mulu,2
ngepet gangguan,2
jg ya jaringannya,2
knp sii kemaren gabisa trs wifinya anjir,2
lemot stress preinstall slesainya abad,2
tolol ngeribetin mulu kerjaannya mahal gabecus tai,2
juancok error disaat,2
pln bikin capek doang emg,2
halo min wifi jaringan internetnya tolong cek dm min,2
lak pake soale buk,2
erorrrr,2
tag gmna,2
weh knp sih,2
bingung nyalahin twitter,2
tsel emang jelek bgt sinyalnya kosan aja deh buka twt aja loadingnya banget,2
sore malang hujan gabisa anak deh,2
error ya streaming (,2
anjggg cowo gueee malahh loading,2
udah ku hina,2
ni ngapa si setan udh nunggu update gagal kali,2
rusak gak,2
error twitter,2
oh twitter kirain maap suujon,2
mjelek,2
tower kau ancurin,2
please fix your internet signal gue udah gak kuat banget,2
tolong bersahabat ya,2
internet kalo udah hujan deres,2
ya allah,2
gak macem-macem,2
geprek aja emang suka digeprek,2
woy lag banget gabisa refresh mentab,2
nih sih lemot banget dah ah,2
sih bikin kesel,2
monyet kebiasaan bgt kalo ujan langsung lemot,2
asu,2
error twt yg error,2
twitter kirain yg eror,2
anjing,2
ngapasih caper,2
jelek cuih,2
download kecepatan maksimal coba barlangganan rasakan sensasinya,2
lo knapa sintinggggg,2
lemot ya,2
deh,2
jelek,2
sialan tbtb ngelag,2
wifi lag bgt anjir,2
ngga direstuin diving jelek banget dahk lu,2
ngelag,2
horor,2
adaapa ku tolong cek,2
ya allah ngajak ribut pls,2
bayarnya internet kabel kak pilih,2
jleg bgt,2
kyk nya pln pulsa pdam tp cmiiw ya brader,2
internetan jam non stop emang,2
tolong lelet yyy,2
anak,2
berhenti berlangganan gimana ya min,2
selamat siang berhenti berlangganan dibantu online terima kasih,2
bayar min,2
lemot e dungaren,2
anj,2
kalo terlambat bayar dikenakan denda gak kalo dendanya ya,2
matiii,2
emang jaringannya g bagus kah,2
drama,2
lu ngethrottle steam ya ajg,2
goblok,2
ga permintaan nambah kecepatan mbps mbps tagihan gede piyee,2
tolong wifi nya ngelag bgt anjir dipake ngegame,2
lgi si indigo nyari ribut mulu deh,2
lo ngeselin,2
selamat siang warna merah los,2
halo wifi dirumah barnya full tp no connection tolong ditindaklanjuti ya min thankyou,2
sumpah gangguan wasalam bgt,2
ya udah coba sesuai intruksi tdk mohon bantuannya min,2
goblok ngapain sih,2
pls jan lemot pas kek wktu jan skrg,2
nomor ganggungan jaringan makassar brp ya cari nomor google gak angkat,2
pls laaaa w cape,2
internet mati min,2
lag,2
hii ya udh coba sesuai intruksi dibawah ga tolong bantu terimakasih,2
sebenernya pake celana anak aja liat,2
gajelass,2
wtf happend to u gabisa maen dota,2
berulah guys nama yayan suryana nd internet nd voice berhenti langganan ruter diambil teknisi aja tagihan muncul meras wooy ( buka story nya ),2
why whyyyyyy,2
napose lemot kon,2
jg mz,2
kek tai,2
kabel kabel,2
gue lampu modemnya merah match ingame disconnect),2
doyan main ml tpi kek tai,2
gajelaaassssssssss,2
ku los ya,2
lemot parah,2
tai,2
kenape dah,2
sih internetnya kadang kadang ilang,2
knp lemot y,2
duh mengecewakan sih,2
pelayanannya mengecewakan,2
atv gak niatan berhentiin netron ape minimal wanda ralf,2
anjir,2
tolong kerjasamanya,2
lg anjir,2
bagus aing ge pindah megapision,2
gilee jaringan lalot bgtt parahhh ihh,2
jelekkkkk bangeetttttt,2
ccd,2
kumat ngentot,2
asu pinter asu ne,2
kabel jaringan telkom kayaknya coba infoin kw telkom,2
bpjs kesehatan aja ya error disuruh restart router bpjs error disuruh clear cachetemplate ya bun,2
gini nih gak sahabatan buffering guys,2
ako lemot bgt,2
capek jd user,2
wow ya ldr an full jam gtu gak pake internet nya ngelag tuh,2
leweih ka kabel sih,2
mu lemot ga pren,2
tobat anjir,2
ya rumah beli kuota lemot banget pake wifi kalo gitu,2
jgn berulah pwis,2
omg pls deh,2
awakening my violent impulses,2
anjing lemot bgt,2
maap ya emang bau banget,2
middle finger,2
aneh banget najis,2
cek dm min urgent,2
cape banget gue jujur,2
tolong urgent bgt wifi mati dr pagi smp skrg dipakai lampu berkedip restart tlg ya yg sekolah meeting,2
yahh mas mas kemarin gada,2
ga pake kak,2
mahal lelet licik,2
banget bgstttt buffering otak gue kaya pake internetan make,2
nyangkut dikabel wifi,2
sport today channel sea today bahas mandalika seru banget gak sih pastinya,2
min copot layanan udh ga yg pake mekanismenya gmna ya tq,2
kemarin ngelag banget nggak sih,2
wifi ga stabil gimana yg pake tpi putus mulu,2
kau knpasi,2
sih ya allah,2
hahaa plis bener bgt semoga gue ga main main kyk kmrin,2
tolong ya gw kelass,2
tolong bantu down lokasi bandung,2
halo selamat pagi min min wifi eror ya router nyala kedip merah membayar tagihan,2
kak ngeleg kakkkkk,2
paaggiiii yuukk yuukkk yg hobi tiktokan hihihii lancar banget nih aq tiktokan internetnya pake,2
internet semalam mati min tolong solusinya butuh banget nih id,2
min cek dm mati semalem costumer care web offline,2
min internet ya,2
min mohon bantuannya knp kalo pake tdk connect cctv sdgkan kalo pake jaringan bisa,2
tolong nih gue make speed yg mbps udeh mulu kemaren orang udah nawarin rumah gue kalo tetep langganan tolong kerjasamanya gue pindah nih,2
min help me internet jam internet ping speed bagus cuman jam internet,2
berarti mati nih min,2
jangan dimatiin dongg,2
dari kemarin ngantri doang min gak pergerakan samaskali,2
kapan min krumahnya,2
please cek dm min terkait kendala jaringan,2
tolong cek jaringan daerah sarua ciputat tangerang selatan krn connect,2
halo mohon infonya internet mati jam,2
aja jaringan gue bikin los gimana tolong kerjasama nya gue bayar kalo lu melayani konsumen mah kecewa gue jangan sampe gue pindah nih tolong respon gue urgent,2
ayodong lakukan perbaikan kmaren loh laporkan blm diperbaiki ganggu aktivitas bgtttttt kerjaaaaa kerjaaaa kerjaaaa,2
bgt responnya pengaduan kmaren sampe skrg blm perbaikan kzllllllll bgt ganggu bgt nggk ngerjain apa ayo cptan perbaiki,2
internet matii yah tolong cek dm,2
klo ping reply min situsnya aja gak id pelanggan dah dm,2
udah ketiga wifinya mati gimana,2
bikin dota gua abaddon hahaha,2
dota update gmn recon recon valorant jg packet loss salah server salah,2
wkwk beralih langganan internet csnya bot susah jawabannya template,2
halo kakk daerah pondok tjandra sidoarjo error ya pingnya ms mulu,2
mjb ak jg pke tp kosan pke indihomo asuuuuu kesaalll,2
halo min nyala nyala ya sore udah dikasih tau call center gangguan t,2
halo min nyala nyala ya sore udah dikasih tau call center gangguan sampe nyala nyala,2
gangguan ya,2
internet dah dimatiin wifi yg,2
ahh pls lemotnya jgn jam segini deh daring nyebelin banget,2
komtol,2
gembel,2
ill say it sucks fase marah ga ngerjain kerjaan anjing lemot banget,2
yaampun babik,2
udah mentok kyknya ya dari jaman cakupan area nya ga perkembangan,2
sih cihanjuang cuman lg deadline loss please cbnmyrep kesini,2
lo sadar kontolodon,2
gangguan mulu dah sekarang,2
kalo bole kelebihan dah bang,2
fyp provider internet dirumah ganti,2
pas dikasi kabar home buka promoan tarik kabel ya tentu saya berpaling koneksi stabil berkontribusi kestabilan emosi jg soalnya so far home terbaiq down time gara kabel pedot x resolve in less than h semua,2
sumpaah down mya banget ampe skrng blom beres beres beneran besok gw ngungsi nih kayaknya,2
emang parah w cs onlinenya ga kooperatif ga tau knp yg disalahin tetangga sebelah,2
buat yg dipelosok daya maunya yg cuman ya nasib kalo gangguan seharian,2
buset pagi ampe malem no internet gabisa akses internet samsek gimana nih,2
lahhh ko yaaa giliran ko sepi aja baeeeee,2
hmmm ga rame ya pdhal temen gue yg ngeluh nih,2
provider sampah,2
sulit percaya yg jd penyelamat outage seharian,2
baca komennya ngeri banget banget dirugikan gara,2
ayodong yg ngalamin keluhann speak up biar seruu,2
tuman lek mari udan mesti sinyal e ampas,2
jelek bangett gakuat,2
wah kaco banget pantes daritadi ngelag mulu,2
lemot ya,2
tunggu masuk depan langsung putusin dah wkwk,2
pengguna kayanya sial ya dibikin susah mulu,2
keseringan gangguan ga sih,2
min nya lemot bgt ciracas jakarta timur dm donk asap,2
lg down,2
hari wifi sih tadi kantor indiehome lemot puol kos pake lelet,2
iya anjmau compe di tgg payan dr siang ga bs payah lah,2
sempet sempetnya down giliran tagihan aja full payment nih,2
musim ujian uhb sma jatim gangguan mulu kena rudal rasya,2
aswwwwwwwwwww kapan ini bener gw dah bener,2
iyaa bagus doang instlasi jutaan,2
anjg lemot,2
rekomen tp lemot masaa,2
demi allah perang aja yuk,2
yaelah penyakit nyusahin orang nya ga sembuh njir,2
aneh aja maen genshin impact aja ga gayaan ekspansi,2
gak siii dm coba biar arahin temen,2
ungkap penyebab utama layanan internetnya down,2
fetish nya emang dirujak netizen deh,2
tinggal nunggu aja melebarkan sayap pelosok gulung tikar dah,2
ini down aaaaamaaatttt yaaaaaaaaakkk,2
rata bagus sekalinya jelek mati total,2
kaya kontol,2
udah pilihan bener emang pindah,2
banyak third party services diblock isp ini untung pindah,2
cok monmaap nih lg ngaco ngelag,2
sudah langganan cuma x lemot hujan lebat tapi sebentar aja selebihnya never complained asli sebagus itu but today beuuh hampir ndak percaya down gini but manusia ya,2
iya nih rusuh ya,2
lu knp si mengajak berantem kh,2
layanan internet dilaporkan down pengguna senin pagi wib pihak tanggapan gangguan ini,2
layanan dikeluhkan down ini penyebabnya,2
layanan internet dilaporkan down senin pagi pengguna mengeluh susah mengakses google streaming,2
pagi ngelag anjir,2
kontol kaga nyalanyala memek,2
wth lemot parah drtd siang,2
taiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii lemot bgt anj,2
emang down liat tweet orang kaya gangguan anjir,2
min knp ni lag parah id,2
ini ngapa lemod bgt si,2
doooownnn yaampun kukira laptopku yg kentang taunya wifiku hadeh,2
tumbenan gangguan,2
bikin emosi sih min,2
koneksinya jelek parah bgttt,2
capek hati pakai baru langganan gangguan lebih trouble lancarnya sungguh kangen gig langganan trouble kali,2
saya pertanggungjawaban provider pelanggan internet yg gangguan berjamjam kali gangguan,2
benernya gak kerjaremote pc client pagi,2
seninsenin ngeluh gw garagara gw ngeluh twitter aja dah,2
trnyt nya gangguan link internasional,2
diinformasikan sesuai notifikasi senin maret mengalami kendala perangkat jaringan internasional mengakibatkan penurunan performansi layanan internet arah server internasional berdampak akses server,2
pasang sabtu kemarin down rese betttt,2
lg error ya,2
nape lemot bgt sih tumben,2
senin senin mabukk email numpuk lemot banget tumbenan,2
dh bayar mahal niehhh jan down napa anjj,2
oalahh down anjengg,2
halo udah sejam jaringan rto,2
lu lola banget tuhan,2
sudah hari internet mati dan tidak ada solusi dari teknisi datang mengganti router dan di set password baru tapi tidak diinfokan meresahkan,2
lo anjg bgt serius,2
koneksi internet gue loyo banget dah kecewa,2
karyawan monyet semua,2
internet dunia dah cuman tiktok ama wasap doang ajg apenih tugas gua gimana kumpulnya nya trouble kah mas gen manggis gimana mas,2
down pas closing gini oiiiiii,2
internet lambat,2
oh ampas ya pastes,2
soalnya kalo dipake terusan daily gt jd bizpak neng,2
aduh lemot banget pagi menghambat pekerjaan,2
ampas banget gak gaweeee,2
ok downnnn,2
sampe ya lemot,2
setengah jam download ginian doang gabisa huu,2
omg stress bgt ini byk kerjaan woy,2
seriously senin sih internet nya problem,2
lu jgn ngada gw kelassssssssszzzz,2
plis dah lemot xl gausa ikutan deh lu,2
anjeengg,2
ni gangguan yaelahhhh,2
lemot parah,2
begini layananmu puarah banget gak sesuai janji putus nyambung nonton filem buffering terus teknisi gak mengatasi masalah,2
kapan bangkrut cacad bet gk niat bet,2
uda d rumah mati ga perbaikan,2
mon maap tlg lemot bgt td prak itmkg jd telat masuk zoom zzz,2
mo seharian gini downnya,2
ngentod lelet bgt,2
halo knp koq internet connectionnya slow bgt ya klo buka google gmail,2
kno sih nih lemot banget kerjaan gue terbengkalai semua buka google vs gofood cepetan gofood datengnya,2
tolong ngelag banget,2
tumben jelek,2
gentian angel banget connect google,2
koncol,2
woi mahal doang pelayanannya sampah maksimal ngga di sosmed ngga chat live ngga ada yang bales tai,2
gangguan ada kendala,2
kaliini lemooooot bgt yaallah,2
wtf,2
kenapa gak bisa buka spreadsheet sih anjg,2
lg gangguan saya internet tp yg gabsa connect,2
anjritlah ini knp tb ngedrop,2
jadi gitu sekarang udah gak peduliin keluhan bangsat,2
ini cek speed bisa tpi buka google ga bisa ini yg down,2
ngentot,2
sumpaaaaaaaah mnt lg gue uprak taiiii gw lg dirumah lg sial bgt,2
googling aja gabisa anjriittttt kenapadaahh,2
huft gak selemot lho buka apps lama ya,2
ngapain o mulu pagi kerjaan keganggu ini,2
error gimana si buka google aja lemot,2
kontol,2
sucks ass now,2
udah ya bentar lg gue uprak sumpah,2
wkwkwkw nelpon cs jaringan sibuk byk org yg telp csnya utk complain,2
mati nyala mati nyala teros ya mantap bor,2
niat revisian nyari sumber idiot~~,2
lemot bgt dah orang lg kerja kuliah ganggu bgt,2
lg jelek banget anjwing,2
hah aku kira ku doang yang kek asu ginii,2
masih belum bisa bobrok,2
tolong ga seru banget gue gabisa buka photo anjir,2
yaallah ngaco daritadi,2
dafuq napa ni tai,2
senin loh napasi gangguan,2
gangguannya dipakai sosmed fb twitter ig,2
down aja terus kontol,2
senin udah gangguan kerjaan,2
tolol,2
kenap sih lemot mulu heran,2
lgi knpa njg,2
anjing anjing absen aja susahhh,2
kuliah online gangguan dah,2
lemot,2
kintil ujian error,2
knp sih anjg berulah lg,2
ni si lemot disconnect lapor disuruh restart doang hadehhhhhh,2
sumpah dah aja tai nya kek bzzzzzzzzzzz no hope bgt isp indo,2
ya allah ampas,2
jancok meh garap ulangan cokkk,2
halo ya ini kerjaku terhambat hiks,2
kntol,2
kntl,2
pls lg ni anjc lemot bgt pls abis praktikummmm,2
samaan jelek banget,2
bangsat tau hidden feenya ngeselin banget,2
sumpah gajelas bet,2
indihom lemot bgt nich upgrade,2
hdeh slowrespon bgt ni tugas w kececeran,2
please deh kenapa sih ya ampuuuuun kok suka disconnected sih,2
anjiiiiiiinnnnggggg,2
setann,2
knp caper bgt jd kek indihm anjg lemot parah,2
kok jelek banget ya,2
anjggg wifi jelek bgt tai,2
lagian ini kenapa mati sih sialaann,2
enya euy merah ngedip kitu lah alus kang,2
apaansi ngelag bat anjeng maen valo,2
lelet banget sih kerjanya mau registrasi aja udah jam ga follow up dr telkom kalau daerah gw ga gw sentuh ni,2
fakkk ilang pas kuliah,2
ni jgn sampe gue bilang bapuk ya bentar no internet connection mulu elahh,2
udah x seminggu jaringan eror,2
koneksi game ga stabil min lag download google drive lamban blm normal,2
ni drama astagfirullah,2
gils seharian down kompensasi gak,2
hahaha bro udah dm telp tetep aja ga direspon teknisi udah janji dateng ga dateng,2
ajsjsksksush tolong donggg lemot bgt,2
halo internet mati nih buat kerja ini,2
di up kayanya ga ngaruh juga udah dm keluhin gangguan ga dinotice,2
ga sadar lemot parah ekspansi,2
wkwkwk kasian dr pagi,2
jaringannya jelek banget,2
internet lemot hey cek dm,2
tolong lahhh gini mulu ya dari siang nonton youtube aja buffering,2
internet gangguan,2
kakkkk kenapa lemottttt,2
tolong yaaaa interview magang skype mati internetnya,2
boleh diinfo internet down sampe kapankah,2
sedih,2
wah gak pemberitahuan nih pantes selow dr pagi kyknya ya,2
maty sih aku gabisa keja lohhhhh,2
gangguan daerah pontianak,2
jujur gue pagi pas kelas sampe ngelag,2
lemot min,2
min gangguan area cawang kah,2
server eror,2
jam an inet deh sempet zoom tiba terlempar sampe skrg lemot buka email aja lamanyaaaaada ya min,2
cek dm ya udah ketiga kalinya error,2
halo min internet semalem gaada jaringan ya,2
id pel koneksi internet mati jam malam sekarang bs tolong bantu trima kasih,2
sdh internet mati wilayah mampangpondok jaya blm jg restored apa kompensasinya,2
selamat pagi saya nomor pelanggan mengalami gangguan layanan internet tv apakah dibantu,2
maintenancenya sampe jam min sampe skrg bisa,2
bisanya pagi tolong dijadwalkan jam,2
halo internet mati nih mohon bantuannya,2
knp ya down bgt internetnya pantes kemarin lemot bgt id pel,2
cm pelanggan utk menunggu kenapa estimasi nya jam,2
daerah jaka setia bekasi mati internet nya terima kasih,2
